Amur Falcon
Merlin
Eurasian Hobby
Oriental Hobby
Saker Falcon
Gyrfalcon
Peregrine Falcon
Barbary Falcon
Little Grebe
Red-necked Grebe
Great Crested Grebe
Horned Grebe
Black-necked Grebe
Short-Tailed Tropicbird
Red-tailed Tropicbird
White-tailed Tropicbird
Masked Booby
Red-footed Booby
Brown Booby
Darter
Pygmy cormorant
Great Cormorant
Temminck's Cormorant
Red-faced Cormorant
Sea Cormorant
Little Egret
Chinese Egret
Reef Heron
Pied Heron
Grey Heron
White-Bellied Heron
Purple Heron
Large Egret
Intermediate Egret
Cattle Egret
Chinese Pond-Heron
Striated Heron
Black-crowned Night-Heron
Japanese Night Heron
Tiger Bittern
Little Bittern
Yellow Bittern
Von Schrenck's Bittern
Great Bittern
Greater Flamingo
Glossy Ibis
White Ibis
White-shouldered Ibis
Crested Ibis
White Spoonbill
White Stork
Oriental White Stork
Pacific Loon
Tahiti Petrel
Bonin Petrel
Bulwer's Petrel
Wedge-tailed Shearwater
Flesh-Footed Shearwater
Sooty Shearwater
Short-tailed Shearwater
Short-tailed Albatross
Black-footed Albatross
Laysan Albatross
Wilson's Storm-Petrel
Leach's Storm-Petrel
Swinhoe's Storm-Petrel
Matsudaira's Storm-Petrel
Eared Pitta
Blue-naped Pitta
Blue-rumped Pitta
Rusty-naped Pitta
Blue Pitta
Fairy Pitta
Silver-breasted Broadbill
Long-tailed Broadbill
Asian Fairy-bluebird
Blue-winged Leafbird
Golden-fronted Leafbird
Orange-bellied Leafbird
Tiger Shrike
Bull-headed Shrike
Red-backed Shrike
Rufous-tailed Shrike
Brown Shrike
Burmese Shrike
Long-tailed Shrike
Grey-backed Shrike
Lesser Grey Shrike
Northern Shrike
Chinese Grey Shrike
Eurasian Jay
Siberian Jay
Sichuan Jay
Taiwan Blue Magpie
Yellow-billed Blue Magpie
Red-billed Blue Magpie
White-winged Magpie
Green Magpie
Short-tailed Magpie
Azure-winged Magpie
Racket-tailed Treepie
Ratchet-tailed Treepie
Tibetan Ground-Jay
Yellow-billed Chough
Carrion Crow
Jungle Crow
Collared Crow
Ashy Woodswallow
Slender-billed Oriole
Rosy Minivet
Swinhoe's Minivet
Black-naped Monarch
Japanese Paradise-Flycatcher
Asian Paradise-Flycatcher
Common Iora
Large Woodshrike
Bohemian Waxwing
White-throated Dipper
Brown Dipper
Rufous-tailed Rock-Thrush
Blue-capped Rock-Thrush
White-throated Rock Thrush
Chestnut-bellied RockThrush
Eurasian Blackbird
Kessler's Thrush
Brown-headed Thrush
Redwing
Song Thrush
Chinese Thrush
Rusty-bellied Shortwing
Lesser Shortwing
White-browed Shortwing
White-gorgetted Jungle Flycatc
Spotted Flycatcher
Grey-streaked Flycatcher
Brown-breasted Flycatcher
Ferruginous Flycatcher
Yellow-rumped Flycatcher
Narcissus Flycatcher
Mugimaki Flycatcher
Rufous-gorgeted Flycatche
White-gorgeted Flycatcher
Ultramarine Flycatcher
Slaty-blueFlycatcher
Sapphire Flycatcher
Verditer Flycatcher
Large Niltava
Small Niltava
Fujian Niltava
Rufous-bellied Niltava
Vivid Niltava
White-tailed Flycatcher
Hainan Blue-Flycatcher
Grey-headed Canary-Flycat
Japanese Robin
White-tailed Rubythroat
Firethroat
Indian Blue Robin
Orange-flanked Bush-Robin
White-browed Bush-Robin
Rufous-breasted Bush Robi
White-rumped Shama
Common Redstart
Hodgson's Redstart
White-throated Redstart
Daurian Redstart
White-winged Redstart
Blue-fronted Redstart
White-capped Water-Redstart
Plumbeous Water-Redstart
White-bellied Redstart
White-tailed Robin
Blue-fronted Robin
Grandala
Little Forktail
Black-backed Forktail
Slaty-backed Forktail
White-crowned Forktail
Spotted Forktail
Variable Wheatear
Desert Wheatear
Purple-backed Starling
White-shouldered Starling
Asian Pied Starling
Chestnut-bellied Nuthatch
White-cheeked Nuthatch
Yellow-billed Nuthatch
Wallcreeper
Eurasian Tree-Creeper
Wren
Chinese Penduline Tit
White-browed Tit
Rusty-breasted Tit
Turkestan Tit
Green-backed Tit
Yellow-cheeked Tit
Yellow Tit
Azure Tit
Varied Tit
Yellow-browed Tit
Sultan Tit
Long-tailed Tit
Black-throated Tit
Rufous-fronted Tit
Black-browed Tit
Sooty Tit
White-eyed River Martin
Sand Martin
Plain Martin
Eurasian Crag-Martin
Pacific Swallow
Crested Finchbill
Tavaau Bulbul
Stripe-throated Bulbul
Flavescent Bulbul
Yellow-bcllied Bulbul
White claroated Bulbul
Grey-eyed Bulbul
Brown-eared Bulbul
Ashy Bulbul
Zitting Cisticola
Gololeu-tuaded Fautail Walolcr
White-browed Chinese Warb
Brown Prinia
Yellow-bellied Prinia
Plain Prinia
Chestnut-flanked White-ey
Oriental White-eye
Japanese White-eye
Chestnut-headed Tesia
Slaty-bellied Tesia
Grey-bellied Tesia
Asian Stubtail
Pale-footed Bush-Warbler
Manchurian Bush Warbler
Japanese Bush-Warbler
Brownish-flanked Bush-War
Chestnut-crowned Bush-War
Aberrant Bush-Warbler
Long-billed Bush-Warbler
Russet Bush-Warbler
Grasshopper Warbler
Pleske's Warbler
Savi's Warbler
Gray's Warbler
Stuak-bachel Suamp Wabler
Sedge Warbler
Streaked Reed-Warbler
Black-browed Reed Warbler
Paddyfield Warbler
Manchurian Reed Warbler
Blunt-winged Warbler
Eurasian Reed-Warbler
Blyth's Reed Warbler
Great Reed-Warbler
Oriental Reed Warbler
Sykes's Warbler
Mountain Tailorbird
Common Tailorbird
Dark-necked Tailorbird
White-browed Tit-Warbler
Crested Tit Warbler
Common Chiffchaff
Mountain Chiffchaff
Wood Warbler
Dusky Warbler
Smoky Warbler
Tickell's Leaf Warbler
Yellow-streaked Warbler
Orange-barred Warbler
Gansu Leaf Warbler
Yellow-browed Warbler
Hume's Warbler
Arctic Warbler
Greenish Warbler
Two-barredWarbler
Pale-legged Warbler
Large-billed Warbler
Eastern Crowned Warbler
Emei Leaf Warbler
Blyth's Leaf-Warbler
White-tailed Leaf-Warbler
Hainan Leaf Warbler
Yellow-vented Warbler
Sulphur-breasted Warbler
Golden-spectacled Warbler
Rufous-faced Warbler
Black-faced Warbler
Yellow-bellied Warbler
Striated Grassbird
Rufous-rumped Grassbird
Masked Laughingthrush
White-throated Laughingth
White-crested Laughingthr
Lesser Necklaced Laughingthrus
Striated Laughingthrush
White-necked Laughingthrush
Grey Laughingthrush
Streaked Laughingthrush
Blue-winged Laughingthrush
Scaly Laughingthrush
White-whiskered Laughingthrush
