ID,Chinese Name,English Name,Latin Name,Rarity (1-4 from rare to common)
350,翘嘴鹬,Terek Sandpiper,Xenus cinerea,0
351,矶鹬,Common Sandpiper,Actitis hypoleucos,0
352,灰尾[漂]鹬,Grey-tailed Tattler,Heteroscelus brevipes,0
353,漂鹬,Wandering Tattler,Heteroscelus incanus,1
354,翻石鹬,Ruddy Turnstone,Arenaria interpres,0
355,长嘴鹬,Long-billed Dowitcher,Limnodromus scolopaeus,1
356,半蹼鹬,Asian Dowitcher,Limnodromus semipalmatus,0
357,大滨鹬,Great Knot,Calidris tenuirostris,0
358,红腹滨鹬,Red Knot,Calidris canutus,2
359,三趾鹬,Sanderling,Calidris alba,0
360,西方滨鹬,Western Sandpiper,Calidris mauri,2
361,勺嘴鹬,Spoon-billed Sandpiper,Calidris pygmeus,1
362,小滨鹬,Little Stint,Calidris minuta,1
363,红颈滨鹬,Rufous-necked Stint,Calidris ruficollis,0
364,青脚滨鹬 ,Temminck's Stint,Calidris temminckii,1
365,长趾滨鹬,Long-toed Stint,Calidris subminuta,2
366,白腰滨鹬,White-Rumped Sandpiper,Calidris fuscicollis,1
367,黑腰滨鹬,Baird's Sandpiper,Calidris bairdii,1
368,斑胸滨鹬,Pectoral Sandpiper,Calidris melanotos,1
369,尖尾滨鹬,Sharp-tailed Sandpiper,Calidris acuminata,0
370,岩滨鹬,Rock Sandpiper,Calidris ptilocnemis,2
371,黑腹滨鹬,Dunlin,Calidris alpina,0
372,弯嘴滨鹬,Curlew Sandpiper,Calidris ferruginea,2
373,高跷鹬 ,Stilt Sandpiper,Micropalama himantopus,2
374,饰胸鹬,Buff-Breasted Sandpiper,Tryngites subruficollis,2
375,阔嘴鹬,Broad-billed Sandpiper,Limicola falcinellus,0
376,流苏鹬,Ruff,Philomachus pugnax,1
377,红颈瓣蹼鹬,Red-necked Phalarope,Phalaropus lobatus,1
378,灰瓣蹼鹬,Red Phalarope,Phalaropus fulicaria,1
379,彩鹬,Greater Painted-snipe,Rostratula benghalensis,0
380,水雉,Pheasant-tailed Jacana,Hydrophasianus chirurgus,1
381,铜翅水雉,Bronze-winged Jacana,Metopidius indicus,1
382,欧石鸻,Eurasian Thick-knee,Burhinus oedicnemus,1
383,大石鸻,Great Thick-knee,Esacus recurvirostris,1
384,蛎鹬,Eurasian Oystercatcher,Haematopus ostralegus,2
385,鹮嘴鹬,Ibisbill,Ibidorhyncha struthersii,1
386,黑翅长脚鹬,Black-winged Stilt,Himantopus himantopus,0
387,反嘴鹬,Pied Avocet,Recurvirostra avosetta,0
388,金斑鸻,Pacific Golden Plover,Pacific Golden Plover,0
389,灰斑鸻,Grey Plover,Pluvialis squatarola,0
390,剑鸻,Common Ringed Plover,Charadrius hiaticula,2
391,长嘴剑鸻,Long-billed Plover,Charadrius placidus,2
392,金眶鸻,Little Ringed Plover,Charadrius dubius,0
393,环颈鸻,Kentish Plover,Charadrius alexandrinus,0
394,马来鸻,Malaysian Plover,Charadrius peronii,2
395,蒙古沙鸻,Mongolian Plover,Charadrius mongolus,0
