ID,Chinese Name,English Name,Latin Name,Rarity (1-4 from rare to common)
660,暗灰鹃鵙,Black-winged Cuckooshrike,Coracina melaschistos,1
661,粉红山椒鸟,Rosy Minivet,Pericrocotus roseus,0
662,小灰山椒鸟,Swinhoe's Minivet,Pericrocotus cantonensis,0
663,灰山椒鸟 ,Ashy Minivet,Pericrocotus divaricatus,0
664,灰喉山椒鸟,Grey-throated Winivet,Pericrocotus solaris,0
665,长尾山椒鸟,Long-tailed Minivet,Pericrocotus ethologus,0
666,短嘴山椒鸟,Short-billed Minivet,Pericrocotus brevirostris,2
667,赤红山椒鸟,Scarlet Minivet,Pericrocotus flammeus,0
668,褐背鹊鵙,Brown-backed pied shrike,Hemipus picatus,0
669,黄腹扇尾鹟,Yellow-bellied Fantail,Rhipidura hypoxantha,2
670,白喉扇尾鹟,White-throated Fantail,Rhipidura albicollis,0
671,白眉扇尾鹟,White-browed Fantail,Rhipidura aureola,1
672,黑卷尾,Black Drongo,Dicrurus macrocercus,0
673,灰卷尾,Ashy Drongo,Dicrurus leucophaeus,0
674,鸦嘴卷尾,Crow-biled Drongo,Dicrurus annectans,1
675,古铜色卷尾,Bronzed Drongo,Dicrurus aeneus,0
676,小盘尾,Lesser Racquet-tailed Drongo,Dicrurus remifer,0
677,发冠卷尾,Spangled Drongo,Dicrurus hottentottus,0
678,大盘尾,Greater Racket-tailed Drongo,Dicrurus paradiseus,0
679,黑枕王鹟 ,Black-naped Monarch,Hypothymis azurea,0
680,紫寿带[鸟],Japanese Paradise-Flycatcher,Terpsiphone atrocaudata,0
681,寿带[鸟],Asian Paradise-Flycatcher,Terpsiphone paradisi,0
682,黑翅雀鹎,Common Iora,Aegithina tiphia,0
683,大绿雀鹎,Great Iora,Aegithina lafresnayei,3
684,钩嘴林鵙 ,Large Woodshrike,Tephrodornis gularis,2
685,太平鸟,Bohemian Waxwing,Bombycilla garrulus,2
686,小太平鸟,Japanese Waxwing,Bombycilla japonica,2
687,河乌,White-throated Dipper,Cinclus cinclus,0
688,褐河乌,Brown Dipper,Cinclus pallasii,0
689,白背矶鸫,Rufous-tailed Rock-Thrush,Monticola saxatilis,0
690,蓝头矶鸫,Blue-capped Rock-Thrush,Monticola cinclorhynchus,1
691,白喉矶鸫,White-throated Rock Thrush,Monticola gularis,0
692,栗腹矶鸫,Chestnut-bellied RockThrush,Monticola rufiventris,0
693,蓝矶鸫,Blue Rock-Thrush,Monticola solitarius,0
694,紫啸鸫,Blue Whistling-Thrush,Myophonus caeruleus,0
695,台湾紫啸鸫,TaiwanWhistling Thrush,Myophonus insularis,0
696,橙头地鸫,Orange-headed Thrush,Zoothera citrina,2
697,白眉地鸫,Siberian Thrush,Zoothera sibirica,2
698,光背地鸫,Plain-backed Thrush,Zoothera mollissima,2
699,长尾地鸫,Long-tailed Thrush,Zoothera dixoni,2
700,虎斑地鸫,Scaly Thrush,Zoothera dauma,0
701,灰背鸫,Grey-backed Thrush,Turdus hortulorum,0
702,黑胸鸫,Black-breasted Thrush,Turdus dissimilis,0
703,乌灰鸫,apanese Thrush,Turdus cardis,2
704,白颈鸫,White-collared Blackbird,Turdus albocinctus,0
705,灰翅鸫,Grey-winged Blackbird,Turdus boulboul,1
706,乌鸫 ,Eurasian Blackbird,Turdus merula,0
707,岛鸫,Island Thrush,Turdus poliocephalus,2
708,灰头鸫,Grey-headcd Thrush,Turdus rubrocanus,0
709,棕背黑头鸫,Kessler's Thrush,Turdus kessleri,1
710,褐头鸫 ,Grey-sided Thrush,Turdus feae,1
711,白眉鸫 ,Eyebrowed Thrush,Turdus obscurus,0
712,槲鸫,Mistle Thrush,Turdus viscivorus,1
713,白腹鸫,Pale Thrush,Turdus pallidus,0
714,赤胸鸫,Brown-headed Thrush,Turdus chrysolaus,1
715,赤颈鸫,Dark-throated Thrush,Turdus ruficollis,0
716,斑鸫,Dusky Thrush,Turdus naumanni,0
717,田鸫,Fieldfare,Turdus pilaris,1
718,白眉歌鸫,Redwing,Turdus iliacus,1
719,欧歌鸫,Song Thrush,Turdus philomelos,3
720,宝兴歌鸫,Chinese Thrush,Turdus mupinensis,2
721,栗背短翅鸫,Gould's Shortwing,Brachypteryx stellata,1
722,锈腹短翅鸫 ,Rusty-bellied Shortwing,Brachypteryx hyperythra,1
723,白喉短翅鸫,Lesser Shortwing,Brachypteryx leucophrys,0
724,蓝短翅鸫,White-browed Shortwing,Brachypteryx montana,0
725,白喉林鹟,White-gorgetted Jungle Flycatc,Rhinomyias brunneata,2
726,斑鹟,Spotted Flycatcher,Muscicapa striata,1
727,灰纹鹟,Grey-streaked Flycatcher,Muscicapa griseisticta,2
728,乌鹟,Sooty Flycatcher,Muscicapa sibirica,0
729,北灰鹟,Asian Brown Flycatcher,Muscicapa dauurica,0
730,褐胸鹟,Brown-breasted Flycatcher,Muscicapa muttui,1
731,棕尾褐鹟,Ferruginous Flycatcher,Muscicapa ferruginea,3
732,白眉[姬]鹟,Yellow-rumped Flycatcher,Ficedula zanthopygia,0
733,黄眉[姬]鹟,Narcissus Flycatcher,Ficedula narcissina,2
734,鸲[姬]鹟,Mugimaki Flycatcher,Ficedula mugimaki,2
735,锈胸蓝[姬]鹟,Slaty-backed Flycatcher,Ficedula hodgsonii,2
736,橙胸[姬]鹟,Rufous-gorgeted Flycatche,Ficedula strophiata,0
737,红喉[姬]鹟,Red-breasted Flycatcher,Ficedula parva,0
738,白喉[姬]鹟,White-gorgeted Flycatcher,Ficedula monileger,1
739,棕胸蓝[姬]鹟,Snowy-browed Flycatcher,Ficedula hyperythra,3
740,小斑[姬]鹟,Little Pied Flycatcher,Ficedula westermanni,0
741,白眉蓝[姬]鹟 ,Ultramarine Flycatcher,Ficedula superciliaris,2
742,灰蓝[姬]鹟,Slaty-blueFlycatcher,Ficedula tricolor,3
743,玉头[姬]鹟,Sapphire Flycatcher,Ficedula sapphira,1
744,白腹[姬]鹟,Blue-and-white Flycatcher,Cyanoptila cyanomelana,2
745,铜蓝鹟,Verditer Flycatcher,Eumyias thalassina,2
746,大仙鹟,Large Niltava,Niltava grandis,2
747,小仙鹟,Small Niltava,Niltava macgrigoriae,0
748,棕腹大仙鹟,Fujian Niltava,Niltava davidi,0
749,棕腹仙鹟,Rufous-bellied Niltava,Niltava sundara,2
750,棕腹蓝仙鹟,Vivid Niltava,Niltava vivida,2
751,白尾蓝仙鹟,White-tailed Flycatcher,Cyornis concretus,1
752,海南蓝仙鹟,Hainan Blue-Flycatcher,Cyornis hainanus,0
753,灰颊仙鹟,Pale-chinned Flycatcher,Cyornis poliogenys,2
754,纯蓝仙鹟,Pale Blue Fltcatcher,Cyornis unicolor,2
755,蓝喉仙鹟,Blue-throated Flycatcher,Cyornis rubeculoides,2
756,山蓝仙鹟,Hill Blue-Flycatcher,Cyornis banyumas,1
757,侏蓝仙鹟,Pygmy Blue-Flycatcher,Muscicapella hodgsoni,0
758,方尾鹟,Grey-headed Canary-Flycat,Culicicapa ceylonensis,0
759,欧亚鸲,European Robin,Erithacus rubecula,2
760,[日本]歌鸲,Japanese Robin,Erithacus akahige,1
761,琉球歌鸲,Ryukyu Robin,Ericthacus komadori,2
762,红尾歌鸲,Common Nightingale,Luscinia sibilans,1
763,新疆歌鸲,Common Nightingale,Luscinia megarhynchos,1
764,"红点颏,红喉歌鸲",Siberian Rubythroat,Luscinia calliope,3
765,黑胸歌鸲,White-tailed Rubythroat,Luscinia pectoralis,0
766,蓝喉歌鸲[蓝点颏],Bluethroat,Luscinia svecica,0
767,棕头歌鸲,Rufous-headed Robin,Luscinia ruficeps,3
768,黑喉歌鸲,Blackthroated,Luscinia obscura,1
769,金胸歌鸲,Firethroat,Luscinia pectardens,1
770,栗腹歌鸲,Indian Blue Robin,Luscinia brunnea,1
771,蓝歌鸲,Siberian Blue Robin,Luscinia cyane,0
772,红胁蓝尾鸲,Orange-flanked Bush-Robin,Tarsiger cyanurus,0
773,金色林鸲,Golden Bush-Robin,Tarsiger chrysaeus,1
774,白眉林鸲,White-browed Bush-Robin,Tarsiger indicus,1
775,棕腹林鸲,Rufous-breasted Bush Robi,Tarsiger hyperythrus,1
776,台湾林鸲,Collared Bush-Robin,Tarsiger johnstoniae,0
777,鹊鸲,Oriental Magpie-Robin,Copsychus saularis,0
778,白腰鹊鸲,White-rumped Shama,Copsychus malabaricus,1
779,贺兰山红尾鸲,Ala Shan Redstart,Phoenicurus alaschanicus,1
780,红背红尾鸲,Rufous-backed Redstart,Phoenicurus erythronotus,1
781,蓝头红尾鸲,Blue-capped Redstart,Phoenicurus caeruleocephalus,1
782,赭红尾鸲,Black Redstart,Phoenicurus ochruros,0
783,欧亚红尾鸲,Common Redstart,Phoenicurus phoenicurus,0
784,黑喉红尾鸲,Hodgson's Redstart,Phoenicurus hodgsoni,0
785,白喉红尾鸲,White-throated Redstart,Phoenicurus schisticeps,0
786,北红尾鸲,Daurian Redstart,Phoenicurus auroreus,0
787,红腹红尾鸲,White-winged Redstart,Phoenicurus erythrogaster,0
788,蓝额红尾鸲,Blue-fronted Redstart,Phoenicurus frontalis,0
789,白顶溪鸲,White-capped Water-Redstart,Chaimarrornis leucocephalus,0
790,红尾水鸲,Plumbeous Water-Redstart,Rhyacornis fuliginosus,0
791,白腹短翅鸲,White-bellied Redstart,Hodgsonius phoenicuroides,0
792,白尾蓝[地]鸲,White-tailed Robin,Myiomela leucurum,0
793,蓝额[长脚]地鸲,Blue-fronted Robin,Cinclidium frontale,1
794,蓝大翅鸲,Grandala,Grandala coelicolor,1
795,小燕尾,Little Forktail,Enicurus scouleri,0
796,黑背燕尾,Black-backed Forktail,Enicurus immaculatus,1
797,灰背燕尾,Slaty-backed Forktail,Enicurus schistaceus,0
798,白冠燕尾,White-crowned Forktail,Enicurus leschenaulti,0
799,斑背燕尾,Spotted Forktail,Enicurus maculatus,0
800,紫宽嘴鸫,Purple Cochoa,Cochoa purpurea,0
801,绿宽嘴鸫,Green Cochoa,Cochoa viridis,1
802,绿宽嘴鸫,Green Cochoa,Cochoa viridis,1
803,白喉石鵖,White-throated Bushchat,Saxicola insignis,1
804,黑喉石鵖,Common Stonechat,Saxicola torquata,0
805,白斑黑石鵖,Pied Bushchat,Saxicola caprata,2
806,黑白林鵖,Jerdon's Bushchat,Saxicola jerdoni,1
807,灰林鵖,Grey Bushchat,Saxicola ferrea,0
808,穗鵖,Northern Wheatear,Oenanthe oenanthe,0
809,[东方]斑鵖,Variable Wheatear,Oenanthe picata,2
810,白顶鵖,Pied Wheatear,Oenanthe pleschanka,0
811,漠鵖,Desert Wheatear,Oenanthe deserti,0
812,沙鵖,Isabelline Wheatear,Oenanthe isabellina,0
813,灰头椋鸟,Chestnut-tailed Starling,Sturnus malabaricus,2
814,黑冠椋鸟,Brahminy Starling,Sturnus pagodarum,2
815,丝光椋鸟,Silky stanling,Sturnus sericeus,0
816,北椋鸟,Purple-backed Starling,Sturnus sturninus,1
817,紫背椋鸟,Chestnut-cheeked Starling,Sturnus philippensis,2
818,灰背椋鸟,White-shouldered Starling,Sturnus sinensis,0
819,粉红椋鸟,Rosy Starling,Sturnus roseus,0
820,紫翅椋鸟,Common Starling,Sturnus vulgaris,0
821,灰椋鸟,White-cheeked Starling,Sturnus cineraceus,0
822,斑椋鸟,Asian Pied Starling,Sturnus contra,0
823,黑领椋鸟,Black-collared Starling,Sturnus nigricollis,0
824,红嘴椋鸟,Vinous-breasted Starling,Sturnus burmannicus,1
825,家八哥,Common Myna,Acridotheres tristis,0
826,灰背岸八哥,Bank Myna,Acridotheres ginginianus,1
827,林八哥,White-vented Myna,Acridotheres cinereus,1
828,白领八哥,Collared Myna,Acridotheres albocinctus,0
829,八哥,Crested Myna,Acridotheres cristatellus,0
830,金冠树八哥 ,Golden-crested Myna,Ampeliceps coronatus,2
831,鹩哥,Hill Myna,Gracula religiosa,3
832,普通,Eurasion Nuthatch,Sitta europaea,0
833,栗臀,Chestnut-vented Nuthatch,Sitta nagaensis,0
834,栗腹,Chestnut-bellied Nuthatch,Sitta castanea,1
835,白尾,White-tailed Nuthatch,Sitta himalayensis,1
836,黑头,Snowy-browed Nuthatch,Sitta villosa,1
837,滇,Yunnan Nuthatch,Sitta yunnanensis,1
838,白脸,White-cheeked Nuthatch,Sitta leucopsis,1
839,绒额 ,Velvet-fronted Nuthatch,Sitta frontalis,0
840,淡紫,Yellow-billed Nuthatch,Sitta solangiae,3
841,巨,Giant Nuthatch,Sitta magna,2
842,丽,Beautiful Nuthatch,Sitta formosa,1
843,红翅旋壁雀,Wallcreeper,Tichodroma muraria,1
844,旋木雀,Eurasian Tree-Creeper,Certhia familiaris,0
845,高山旋木雀,Bar-tailed Tree-Creeper,Certhia himalayana,2
846,锈红腹旋木雀,Rusty-flanked Treecreeper,Certhia nipalensis,0
847,褐喉旋木雀,Brown-throated Treecreeper,Certhia discolor,1
848,鹪鹩,Wren,Troglodytes troglodytes,0
849,白冠攀雀,White-erowned penduline Tit,Remiz coronatus,1
850,中华攀雀,Chinese Penduline Tit,Remiz consobrinus,0
851,火冠雀,Fire-capped Tit,Cephalopyrus flammiceps,3
852,沼泽山雀,Marsh Tit,Parus palustris,0
853,褐头山雀,Willow Tit,Parus montanus,0
854,白眉山雀,White-browed Tit,Parus superciliosus,3
855,红腹山雀,Rusty-breasted Tit,Parus davidi,2
856,西伯利亚山雀,Siberian Tit,Parus cinctus,1
857,棕枕山雀,Rufous-naped Tit,Parus rufonuchalis,1
858,黑冠山雀,Rufous-vented Tit,Parus rubidiventris,1
859,煤山雀,Coal Tit,Parus ater,0
860,黄腹山雀,Yellow-bellied Tit,Parus venustulus,0
861,褐冠山雀,Grey-crested Tit,Parus dichrous,0
862,大山雀,Great Tit,Parus major,0
863,西域山雀,Turkestan Tit,Parus bokharensis,2
864,绿背山雀,Green-backed Tit,Parus monticolus,0
865,黄颊山雀,Yellow-cheeked Tit,Parus spilonotus,0
866,台湾黄山雀,Yellow Tit,Parus holsti,1
867,灰蓝山雀,Azure Tit,Parus cyanus,0
868,黄胸山雀,Yellow-breasted Tit,Parus flavipectus,2
869,杂色山雀,Varied Tit,Parus varius,1
870,黄眉林雀,Yellow-browed Tit,Sylviparus modestus,0
871,冕雀,Sultan Tit,Melanochlora sultanea,2
872,银喉[长尾]山雀,Long-tailed Tit,Aegithalos caudatus,0
873,红头[长尾]山雀,Black-throated Tit,Aegithalos concinnus,0
874,黑头[长尾]山雀,Rufous-fronted Tit,Aegithalos iouschistos,0
875,黑眉[长尾]山雀,Black-browed Tit,Aegithalos bonvalotis,0
876,银脸[长尾]山雀,Sooty Tit,Aegithalos fuliginosus,1
877,白眼河燕,White-eyed River Martin,Pseudochelidon sirintarae,1
878,崖沙燕,Sand Martin,Riparia riparia,0
879,褐喉沙燕,Plain Martin,Riparia paludicola,0
880,岩燕 ,Eurasian Crag-Martin,Hirundo rupestris,1
881,纯色岩燕,Dusky Crag-Martin,Hirundo concolor,1
882,家燕,Barn Swallow,Hirundo rustica,0
883,洋斑燕,Pacific Swallow,Hirundo tahitica,0
884,金腰燕 ,Red-rumped Swallow,Hirundo daurica,0
885,斑腰燕 ,Striated Swallow,Hirundo striolata,0
886,[白腹]毛脚燕,Northern House-Martin,Delichon urbica,0
887,烟腹毛脚燕,Asian House-Martin,Delichon dasypus,0
888,黑喉毛脚燕,Nepal House-Martin,Delichon nipalensis,1
889,戴菊,Goldcrest,Regulus regulus,0
890,台湾戴菊,Flamecrest,Regulus goodfellowi,0
891,凤头雀嘴鹎,Crested Finchbill,Spizixos canifrons,0
892,领雀嘴鹎,Collared Finchbill,Spizixos semitorques,0
893,纵纹绿鹎,Striated Bulbul,Pycnonotus striatus,1
894,黑头鹎,Black-headed Bulbul,Pycnonotus atriceps,1
895,黑冠黄鹎,Black-crested Bulbul,Pycnonotus melanicterus,0
896,红耳鹎,Red-whiskered Bulbul,Pycnonotus jocosus,0
897,黄臀鹎,Brown-breasted Bulbul,Pycnonotus xanthorrhous,0
898,白头鹎,Light-vented Bulbul,Pycnonotus sinensis,0
899,台湾鹎,Tavaau Bulbul,Pycnonotus taivanus,2
900,白颊鹎,Himalayan Bulbul,Pycnonotus leucogenys,1
901,黑喉红臀鹎,Red-vented Bulbul,Pycnonotus cafer,0
902,白喉红臀鹎,Sooty-headed Bulbul,Pycnonotus aurigaster,0
903,纹喉鹎,Stripe-throated Bulbul,Pycnonotus finlaysoni,1
904,黄绿鹎,Flavescent Bulbul,Pycnonotus flavescens,3
905,黄腹冠鹎,Yellow-bcllied Bulbul,Alophoixus flaveolus,2
906,白喉冠鹎,White claroated Bulbul,Alophoixus pallidus,0
907,灰眼短脚鹎,Grey-eyed Bulbul,Iole propinqua,0
908,栗耳[短脚]鹎,Brown-eared Bulbul,Ixos amaurotis,0
909,灰短脚鹎,Ashy Bulbul,Hemixos flavala,0
910,栗背短脚鹎,Chestnut Bulbul,Hemixos castanonotus,0
911,绿翅短脚鹎,Mountain Bulbul,Hypsipetes mcclellandii,0
912,黑[短脚]鹎,Madagascar Bulbul,Hypsipetes leucocephalus,0
913,棕扇尾莺,Zitting Cisticola,Cisticola juncidis,0
914,金头扇尾莺,Gololeu-tuaded Fautail Walolcr,Cisticola exilis,0
915,山鹛,White-browed Chinese Warb,Rhopophilus pekinensi,1
916,山鹪莺,Striated Prinia,Prinia criniger,0
917,褐山鹪莺,Brown Prinia,Prinia polychroa,2
918,黑喉山鹪莺,Hill Prinia,Prinia atrogularis,0
919,暗冕鹪莺,Rufescent Prinia,Prinia rufescens,0
920,灰胸鹪莺,Grey-breasted Prinia,Prinia hodgsonii,0
921,黄腹鹪莺,Yellow-bellied Prinia,Prinia flaviventris,0
922,褐头鹪莺,Plain Prinia,Prinia inornata,0
923,红胁绣眼鸟,Chestnut-flanked White-ey,Zosterops erythropleurus,0
924,灰腹绣眼鸟,Oriental White-eye,Zosterops palpebrosus,0
925,暗绿绣眼鸟,Japanese White-eye,Zosterops japonicus,0
926,栗头地莺,Chestnut-headed Tesia,Tesia castaneocoronata,0
927,金冠地莺,Slaty-bellied Tesia,Tesia olivea,0
928,灰腹地莺,Grey-bellied Tesia,Tesia cyaniventer,0
929,鳞头树莺,Asian Stubtail,Urosphena squameiceps,0
930,淡脚树莺,Pale-footed Bush-Warbler,Cettia pallidipes,0
931,远东树莺,Manchurian Bush Warbler,Cettia canturians,0
932,日本树莺,Japanese Bush-Warbler,Cettia diphone,0
933,强脚树莺,Brownish-flanked Bush-War,Cettia fortipes,0
934,大树莺,Chestnut-crowned Bush-War,Cettia major,1
935,异色树莺,Aberrant Bush-Warbler,Cettia flavolivaceus,1
936,黄腹树莺,Yellowish-bellied Bush Warbler,Cettia acanthizoides,0
937,棕顶树莺,Grey-sided Bush-Warbler,Cettia brunnifrons,2
938,宽尾树莺,Cetti's Warbler,Cettia cetti,1
939,斑胸短翅莺,Spotted Bush-Warbler,Bradypterus thoracicus,0
940,巨嘴短翅莺,Long-billed Bush-Warbler,Bradypterus major,1
941,中华短翅莺,Chinese BushWarbler,Bradypterus tacsanowskius,0
942,棕褐短翅莺,Brown Bush-Warbler,Bradypterus luteoventris,0
943,高山短翅莺,Russet Bush-Warbler,Bradypterus seebohmi,0
944,矛斑蝗莺,Lanceolated Warbler,Locustella lanceolata,2
945,黑斑蝗莺,Grasshopper Warbler,Locustella naevia,1
946,小蝗莺 ,Rusty-rumped Warbler,Locustella certhiola,2
947,北蝗莺,Middendorff's Warbler,Locustella ochotensis,1
948,史氏蝗莺,Pleske's Warbler,Locustella pleskei,2
949,鸲蝗莺,Savi's Warbler,Locustella luscinioides,2
950,苍眉蝗莺,Gray's Warbler,Locustella fasciolata,2
951,斑背大尾莺,Stuak-bachel Suamp Wabler,Locustella pryeri,1
952,水蒲苇莺,Sedge Warbler,Acrocephalus schoenobaenus,1
953,细纹苇莺,Streaked Reed-Warbler,Acrocephalus sorghophilus,1
954,黑眉苇莺,Black-browed Reed Warbler,Acrocephalus bistrigiceps,0
955,稻田苇莺,Paddyfield Warbler,Acrocephalus agricola,2
956,远东苇莺,Manchurian Reed Warbler,Acrocephalus tangorum,2
957,钝翅[稻田]苇莺,Blunt-winged Warbler,Acrocephalus concinens,2
958,芦苇莺,Eurasian Reed-Warbler,Acrocephalus scirpaceus,2
959,布氏苇莺,Blyth's Reed Warbler,Acrocephalus dumetorum,2
960,大苇莺,Great Reed-Warbler,Acrocephalus arundinaceus,0
961,东方大苇莺,Oriental Reed Warbler,Acrocephalus orientalis,0
962,噪大苇莺,Clamorous Reed-Warbler,Acrocephalus stentoreus,0
963,厚嘴苇莺 ,Thick-billed Warbler,Acrocephalus aedon,2
964,靴篱莺,Booted Warbler,Hippolais caligata,1
965,赛氏篱莺 ,Sykes's Warbler,Hippolais rama,1
966,草绿篱莺,Olivaceous Warbler,Hippolais pallida,1
967,金头缝叶莺,Mountain Tailorbird,Orthotomus cuculatus,3
968,长尾缝叶莺,Common Tailorbird,Orthotomus sutorius,0
969,黑喉缝叶莺 ,Dark-necked Tailorbird,Orthotomus atrogularis,0
970,花彩雀莺,White-browed Tit-Warbler,Leptopoecile sophiae,1
971,凤头雀莺 ,Crested Tit Warbler,Leptopoecile elegans,2
972,叽咋柳莺,Common Chiffchaff,Phylloscopus collybita,2
973,东方叽咋柳莺,Mountain Chiffchaff,Phylloscopus sindianus,2
974,林柳莺,Wood Warbler,Phylloscopus sibilatrix,2
975,褐柳莺,Dusky Warbler,Phylloscopus fuscatus,0
976,烟柳莺 ,Smoky Warbler,Phylloscopus fuligiventer,2
977,黄腹柳莺,Tickell's Leaf Warbler,Phylloscopus affinis,0
978,棕腹柳莺,Buff-throated Warbler,Phylloscopus subaffinis,2
979,灰柳莺,Sulphur-bellied Warbler,Phylloscopus griseolus,1
980,棕眉柳莺,Yellow-streaked Warbler,Phylloscopus armandii,2
981,巨嘴柳莺,Radde's Warbler,Phylloscopus schwarzi,0
982,橙斑翅柳莺,Orange-barred Warbler,Phylloscopus pulcher,0
983,灰喉柳莺,Ashy-throated Warbler,Phylloscopus maculipennis,2
984,黄腰柳莺 ,Yellow-rumped Warbler,Phylloscopus proregulus,0
985,淡黄腰柳莺,Lemon-rumped Warbler,Phylloscopus chloronotus,0
986,甘肃[黄腰]柳莺,Gansu Leaf Warbler,Phylloscopus kansuensis,1
987,四川柳莺,Sichuan Leaf-Warbler,Phylloscopus sichuanensis,2
988,黄眉柳莺,Yellow-browed Warbler,Phylloscopus inornatus,0
989,淡眉柳莺,Hume's Warbler,Phylloscopus humei,0
990,极北柳莺,Arctic Warbler,Phylloscopus borealis,0
991,暗绿柳莺,Greenish Warbler,Phylloscopus trochiloides,0
992,双斑绿柳莺,Two-barredWarbler,Phylloscopus plumbeitarsus,0
993,灰脚柳莺,Pale-legged Warbler,Phylloscopus tenellipes,1
994,乌嘴柳莺,Large-billed Warbler,Phylloscopus magnirostris,1
995,冕柳莺,Eastern Crowned Warbler,Phylloscopus coronatus,0
996,峨眉柳莺,Emei Leaf Warbler,Phylloscopus emeiensis,1
997,冠纹柳莺,Blyth's Leaf-Warbler,Phylloscopus reguloides,0
998,白斑尾柳莺,White-tailed Leaf-Warbler,Phylloscopus davisoni,2
999,海南柳莺 ,Hainan Leaf Warbler,Phylloscopus hainanus,0
1000,黄胸柳莺,Yellow-vented Warbler,Phylloscopus cantator,1
1001,黑眉柳莺,Sulphur-breasted Warbler,Phylloscopus ricketti,2
1002,金眶鹟莺,Golden-spectacled Warbler,Seicercus burkii,2
1003,灰头鹟莺,Grey-hooded Warbler,Seicercus xanthoschistos,0
1004,白眶鹟莺,White-spectacled Warbler,Seicercus affinis,2
1005,灰脸鹟莺,Grey-cheeked Warbler,Seicercus poliogenys,1
1006,栗头鹟莺,Chestnut-crowned Warbler,Seicercus castaniceps,2
1007,宽嘴鹟莺,Broad-billed Warbler,Tickellia hodgsoni,1
1008,棕脸鹟莺,Rufous-faced Warbler,Abroscopus albogularis,0
1009,黑脸鹟莺,Black-faced Warbler,Abroscopus schisticeps,1
1010,黄腹鹟莺,Yellow-bellied Warbler,Abroscopus superciliaris,0
1011,沼泽大尾莺,Striated Grassbird,Megalurus palustris,2
1012,大草莺,Rufous-rumped Grassbird,Graminicola bengalensis,1
1013,黑脸噪鹛,Masked Laughingthrush,Garrulax perspicillatus,0
1014,白喉噪鹛,White-throated Laughingth,Garrulax albogularis,0
1015,白冠噪鹛,White-crested Laughingthr,Garrulax leucolophus,0
1016,小黑领噪鹛,Lesser Necklaced Laughingthrus,Garrulax monileger,0
1017,黑领噪鹛,Greater Necklaced Laughingthru,Garrulax pectoralis,0
1018,条纹噪鹛,Striated Laughingthrush,Garrulax striatus,1
1019,白颈噪鹛,White-necked Laughingthrush,Garrulax strepitans,1
1020,褐胸噪鹛,Grey Laughingthrush,Garrulax maesi,2
1021,栗颈噪鹛,Rufous-necked Laughingthrush,Garrulax ruficollis,2
1022,黑喉噪鹛,Black-throated Laughingthrush,Garrulax chinensis,0
1023,黄喉噪鹛,Yellow-throated Laughingthrush,Garrulax galbanus,1
1024,栗臀噪鹛,Rufous-vented Laughingthrush,Garrulax gularis,1
1025,山噪鹛,Plain Laughingthrush,Garrulax davidi,2
1026,黑额山噪鹛,Sukatschev's Laughing thrush,Garrulax sukatschewi,1
1027,灰翅噪鹛,Moustached Laughingthrush,Garrulax cineraceus,3
1028,棕颏噪鹛,Rufous-chinned Laughingthrush,Garrulax rufogularis,0
1029,斑背噪鹛,Barred Laughingthrush,Garrulax lunulatus,2
1030,白点鹛,White-speckled Laughingthrush,Garrulax bieti,2
1031,大噪鹛,Giant Laughingthrush,Garrulax maximus,0
1032,眼纹噪鹛,Spotted Laughingthrush,Garrulax ocellatus,0
1033,灰胁噪鹛,Grey-sided Laughingthrush,Garrulax caerulatus,1
1034,棕噪鹛,Rusty Laughingthrush,Garrulax poecilorhynchus,1
1035,斑胸噪鹛,Spot-breasted Laughingthrush,Garrulax merulinus,1
1036,画眉,Hwamei,Garrulax canorus,0
1037,白颊噪鹛,White-browed Laughingthrush,Garrulax sannio,0
1038,细纹噪鹛,Streaked Laughingthrush,Garrulax lineatus,0
1039,蓝翅噪鹛,Blue-winged Laughingthrush,Garrulax squamatus,1
1040,纯色噪鹛 ,Scaly Laughingthrush,Garrulax subunicolor,0
1041,橙翅噪鹛,Elliot's Laughingthrush,Garrulax elliotii,0
1042,杂色噪鹛,Variegated Laughingthrush,Garrulax variegatus,1
1043,灰腹噪鹛,Brown-cheeked Laughingthrush,Garrulax henrici,0
1044,黑顶噪鹛,Black-faced Laughingthrush,Garrulax affinis,2
1045,玉山噪鹛,White-whiskered Laughingthrush,Garrulax morrisonianus,0
1046,红头噪鹛,Chestnut-crowned Laughingthrus,Garrulax erythrocephalus,1
1047,丽色噪鹛,Red-winged Laughingthrush,Garrulax formosus,1
1048,赤尾噪鹛,Red-tailed Laughingthrush,Garrulax milnei,2
1049,红翅薮鹛,Red-faced Liocichla,Liocichla phoenicea,1
1050,灰胸薮鹛,Omei Shan Liocichla,Liocichla omeiensis,2
1051,黄痣薮鹛,Steere's Liocichla,Liocichla steerii,0
1052,棕胸雅鹛 ,Buff-breasted Babbler,Pellorneum tickelli,0
1053,白腹幽鹛,Spot-throated Babbler,Pellorneum albiventre,1
1054,棕头幽鹛,Puff-throated Babbler,Pellorneum ruficeps,0
1055,长嘴钩嘴鹛,Large Scimitar-Babbler,Pomatorhinus hypoleucos,1
1056,斑胸钩嘴鹛,Spot-breated Scimitar Babbler,Pomatorhinus erythrocnemis,0
1057,锈脸钩嘴鹛,Rusty-cheeked Scimitar-Ba,Pomatorhinus erythrogenys,1
1058,灰头钩嘴鹛,White-browed Scimitar Babbler,Pomatorhinus schisticeps,1
