Little Ringed Plover
Malaysian Plover
Oriental Plover
Eurasian Dotterel
Spur-ainged Lapuiing
Grey-headed Lapwing
Red-wattled Lapwing
Collared Pratincole
Oriental Pratincole
Small Pratincole
Pomarine Jaeger
Indian Skimmer
Glaucous-winged Gull
Glaucous Gull
Vega Gull
Yellow-legged Gull
Pallas's Gull
Brown-headed Gull
Common Black-headed Gull
Slender-billed Gull
Saunders's Gull
Relict Gull
Ross's Gull
Sabine's Gull
Black-legged Kittiwake
Gull-billed Tern
Caspian Tern
River Tern
Lesser Crested Tern
Great Crested-Tern
Chinese Lesser Crested Tern
Roseate Ter
Black-naped Tern
Little Tern
Black-bellied Tern
Aleutian Tern
Sooty Tern
White-winged Tern
Black Tern
Noddy Tern
White Tern
Marbled Murrelet
Short-billed Guillemot
Japanese Murrelet
Rhinoceros Auklet
Osprey
Jerdon's Baza
Black Baza
Oriental Honey-buzzard
Black-winged Kite
Black Kite
Black-eared Kite
Brahminy Kite
White-bellied Sea Eagle
Pallas's Sea-Eagle
White-tailed Sea Eagle
Steller's Sea-eagle
Lesser Fish-Eagle
Lammergeier
White-rumped Vulture
Himalayan Griffon
Eurasian Griffon
Cinereous Vulture
Red-headed Vulture
Crested Serpent-Eagle
Western Marsh-Harrier
Eastern Marsh-Harrier
Pallid Harrier
Pied Harrier
Montagu's Harrier
Crested Goshawk
Japanese Sparrowhawk
Besra
White-eyed Buzzard
Rufous-winged Buzzard
Grey-faced Buzzard Eagle
Common Buzzard
Long-legged Buzzard
Upland Buzzard
Rough-legged Buzzard
Black Eagle
Greater Spotted Eagle
Steppe Eagle
Imperial Eagle
Golden Eagle
Bonelli's Hawk Eagle
Booted Eagle
Rufous-bellied Hawk Eagle
Mountain Hawk-Eagle
Collared Falconet
Pied Falconet
Common Kestrel
Red-footed Falcon
Amur Falcon
Merlin
Eurasian Hobby
Oriental Hobby
Saker Falcon
Gyrfalcon
Peregrine Falcon
Barbary Falcon
Little Grebe
Red-necked Grebe
Great Crested Grebe
Horned Grebe
Black-necked Grebe
Short-Tailed Tropicbird
Red-tailed Tropicbird
White-tailed Tropicbird
Masked Booby
Red-footed Booby
Brown Booby
Darter
Pygmy cormorant
Great Cormorant
Temminck's Cormorant
Red-faced Cormorant
Sea Cormorant
Little Egret
Chinese Egret
Reef Heron
Pied Heron
Grey Heron
White-Bellied Heron
Purple Heron
Large Egret
Intermediate Egret
Cattle Egret
Chinese Pond-Heron
Striated Heron
Black-crowned Night-Heron
Japanese Night Heron
Tiger Bittern
Little Bittern
Yellow Bittern
Von Schrenck's Bittern
Cinnamon Bittern
Black Bittern
Great Bittern
Greater Flamingo
Glossy Ibis
White Ibis
White-shouldered Ibis
Crested Ibis
White Spoonbill
White Stork
Oriental White Stork
Lesser Adjutant
Lesser Frigatebird
Christmas Island Frigatebird
Pacific Loon
Tahiti Petrel
Bonin Petrel
Bulwer's Petrel
Streaked Shearwater
Wedge-tailed Shearwater
Flesh-Footed Shearwater
Sooty Shearwater
